entityID	wikidataID	label
97	Q551067	Northern Zhou
98	Q552157	Nieuwe Republiek
99	Q558596	Hadiya Kingdom
100	Q571453	Former Shu
101	Q600562	Mthethwa Paramountcy
102	Q605000	North Caucasian Soviet Republic
103	Q622783	Spanish Netherlands
104	Q630882	Republic of New Granada
105	Q631780	Vahszuszana
106	Q642301	Seventeenth Dynasty of Egypt
107	Q654766	Republic of North Peru
108	Q657861	Dholpur State
109	Q660393	Lower Lorraine
110	Q664588	Uganda Scheme
111	Q668415	Orchha State
112	Q686312	Duchy of Amalfi
113	Q689527	Aster Revolution
114	Q693570	Duchy of Ferrara
115	Q693980	Duchy of Swabia
116	Q701337	Empire of Vietnam
117	Q713750	West Germany
118	Q714006	Republic of Ezo
119	Q715210	Geumgwan Gaya
120	Q716890	Indore State
121	Q722071	Ashanti Empire
122	Q729768	Zulu Kingdom
123	Q736936	Lu
124	Q737629	Twenty-second Dynasty of Egypt
125	Q746558	Emirate of Bukhara
126	Q762084	Bamana Empire
127	Q766543	Hispanic Monarchy
128	Q767089	Salamis
129	Q808575	Baroda State
130	Q818666	Berar Sultanate
131	Q818742	Mon State
132	Q831310	Bethio
133	Q837998	Kingdom of East Anglia
134	Q838291	Socialist Republic of Montenegro
135	Q849623	Oyo Empire
136	Q856843	United Arab States
137	Q858269	Biffeche
138	Q860407	Kahlur State
139	Q862522	Mossi Kingdoms
140	Q878717	Bit Adini
141	Q889912	Toro Kingdom
142	Q912068	Wu
143	Q918204	Rajpipla State
144	Q920527	Britonia
145	Q933592	Duchy of Massa and Carrara
146	Q940123	Rustamid dynasty
147	Q940821	People's Democratic Republic of Ethiopia
148	Q941881	Netherlands New Guinea
149	Q950644	Carpatho-Ukraine
150	Q953068	South-West Africa
151	Q954585	Kingdom of Brycheiniog
152	Q956451	Kingdom of Dyfed
153	Q959419	Sicels
154	Q965174	Coalition Provisional Authority
155	Q967246	Ngoyo
156	Q975405	Sultanate of Rum
157	Q976091	East African Federation
158	Q1045615	Guzhu
159	Q1047069	Kizzuwatna
160	Q1048340	Kingdom of Albania
161	Q1048918	Kingdom of the Suebi
162	Q1069690	Chen
163	Q1072140	Roman Republic
164	Q1108659	Republic of Benin
165	Q1137110	Ducado de Ceneda
166	Q1138904	Kingdom of Afghanistan
167	Q1148042	Qutb Shahi dynasty
168	Q1149098	Dai
169	Q1154406	Ashikaga shogunate
170	Q1155700	Rattanakosin Kingdom
171	Q1192067	Min
172	Q1192936	Kingdom of Burundi
173	Q1193822	Wuyue
174	Q1206012	German Reich
175	Q1225154	Regnum Theodomiri
176	Q1232988	Italian Eritrea
177	Q1235737	County of Aragon
178	Q1252744	Jind State
179	Q1278242	Eastern States Union
180	Q1280122	Principality of Capua
181	Q1290932	Grafschaft Heiligenberg
182	Q1322424	Maakhir
183	Q1323195	Wu
184	Q1353404	Principality of Kastrioti
185	Q1361989	First Philippine Republic
186	Q1395011	Chalukya dynasty
187	Q1397174	Fartak
188	Q1400154	Federated Malay States
189	Q1406298	Serbian Empire
190	Q1411349	County of Armagnac
191	Q1411800	Schwäbisch-Österreich
192	Q1419681	Crimean People's Republic
193	Q1425000	County of Amiens
194	Q1436243	Free Territory
195	Q1468426	Limmu-Ennarea
196	Q1483480	Prince of Sedan
197	Q1520008	Duchy of Neopatria
198	Q1535245	Sri Ksetra Kingdom
199	Q1541699	County of Empúries
200	Q1541812	County of Troyes
201	Q1562357	Republic of Central Albania
202	Q1588594	Panna State
203	Q1591062	Haushabi
204	Q1604981	Ratlam State
205	Q1614435	Lordship of Rostock
206	Q1618896	Rus' Khaganate
207	Q1623936	Kingdom of Garo
208	Q1683106	Jaora State
209	Q1683696	Diarra
210	Q1683756	Jasdan State
211	Q1761355	Kuban-Black Sea Soviet Republic
212	Q1761381	Giudicato of Logudoro
213	Q1796202	Kingdom of Granada
214	Q1796223	Kingdom of Lunda
215	Q1796239	Kingdom of Seville
216	Q1800206	Reich Niani
217	Q1811029	Finnish Socialist Workers' Republic
218	Q1843786	Anhalt-Bernburg-Schaumburg-Hoym
219	Q1852345	Trucial States
220	Q1964552	Nandgaon State
221	Q1989935	Provisional Government of Albania
222	Q1991540	Duchy of Courland and Semigallia
223	Q2006864	Northern Yan
224	Q2010024	Second Czechoslovak Republic
225	Q2039165	Stad en Lande
226	Q2077648	Cirebon Sultanate
227	Q2086556	Kakatiya dynasty
228	Q2096678	Beylik of Isfendiyar
229	Q2096935	Kingdom of Sedang
230	Q2121839	Alawi
231	Q2139012	Rehoboth
232	Q2191428	Taifa of Jérica
233	Q2220019	Eastern Guo
234	Q2220343	Republiek Montefiorino
235	Q2263316	殷国
236	Q2263339	虞国
237	Q2300296	Latvian Socialist Soviet Republic
238	Q2300884	Sonbai
239	Q2301372	Castilian Kingdom of Toledo
240	Q2324047	County of Apulia
241	Q2398434	Taifa of Murviedro and Sagunto
242	Q2413855	Juliana Republic
243	Q2429253	Islamic State of Iraq and the Levant
244	Q2440328	Tomani
245	Q2454585	Third Czechoslovak Republic
246	Q2456191	Kingdom of Seisyllwg
247	Q2457072	Duchy of Gaeta
248	Q2463081	Taifa of Constantina and Hornachuelos
249	Q2502117	Urua
250	Q2503648	Utum
251	Q2509414	Tambralinga
252	Q2523837	Brandenburg colonial empire
253	Q2524715	Taifa of Ronda
254	Q2564694	Powys Fadog
255	Q2584842	Rijkslandvoogdij Wetterau
256	Q2584857	Ruo
257	Q2603305	Federation of Ethiopia and Eritrea
258	Q2608761	Albret
259	Q2622868	Bagratid Armenia
260	Q2650123	Tan
261	Q2668584	Taifa of Carmona
262	Q2719360	Duchy of Luxembourg
263	Q2919545	Principality of Svaneti
264	Q2958284	Taifa of Menorca
265	Q2975232	Republic of Independent Guyana
266	Q2980922	Columbia District
267	Q2991433	County of Sobrarbe
268	Q3032694	Taifa of Purchena
269	Q3133774	Wahidi Haban
270	Q3185305	Kingdom of Israel
271	Q3241025	Limbdi State
272	Q3347092	Varendra
273	Q3359147	Videha
274	Q3443999	Subeihi
275	Q3446243	Kingdom of Ait Abbas
276	Q3456487	Sudanese Republic
277	Q3496079	Czech Republic
278	Q3503555	Palembang Sultanate
279	Q3538254	奚
280	Q3560494	Eastern Xia
281	Q3591852	Free State of Antioquia
282	Q3608782	Urmia Khanate
283	Q3744305	Feudo di Castellano e Castelnuovo
284	Q3765271	Utkala Kingdom
285	Q3768593	Girifai
286	Q3845762	Marchesato di Novello
287	Q3845764	Marchesato di Spigno
288	Q3932080	Kingdom of Sardinia and Corsica
289	Q3932084	Kingdom of Tambapanni
290	Q3933221	Repubblica Astese
291	Q3968537	stati italiani nell'era napoleonica
292	Q4066154	Andhra State
293	Q4068252	Tsebelda
294	Q4087330	Битва на Абалацком озере
295	Q4123172	Волисполком
296	Q4124689	Вольный город Рига
297	Q4148096	Графство Трегье
298	Q4155480	Dasarna Kingdom
299	Q4210248	Kalmyk Khanate
300	Q4217876	Cutch State
301	Q4224859	Principality of Trinidad
302	Q4249540	Qutqashen Sultanate
303	Q4272186	Anga Kingdom
304	Q4285171	Матча
305	Q4333992	Олонецкое правительство
306	Q4338940	Островецкая республика
307	Q4347782	Skewbald Horde
308	Q4348096	Пекат
309	Q4363240	Principality of Pir
310	Q4416470	Сеньория Авогур
311	Q4428846	Сонсан Кая
312	Q4442012	Stepanskoe Principality
313	Q4452492	Татарские ханства
314	Q4494730	Hyderabad State
315	Q4529862	Principality of Èdesskoe
316	Q4969562	British Bencoolen
317	Q5062192	Centralist Republic of Mexico
318	Q5098931	荣国
319	Q5274236	Didouyu
320	Q5363393	Xu (state)
321	Q5367152	单国
322	Q5440850	Federation of Nigeria
323	Q5520438	Gan
324	Q5782830	Muisca Confederation
325	Q6410251	Kimpurusha Kingdom
326	Q6412664	Realm of Stefan Dragutin
327	Q6412671	Kingdom of Upatissa Nuwara
328	Q6412684	Kingdom of the Canary Islands
329	Q6429495	Konkana Kingdom
330	Q6509709	Khalkhal Khanate
331	Q6806805	Medieval Croatia
332	Q6831903	Daewiguk
333	Q6958282	Naga Kingdom
334	Q6967073	Nasikya Kingdom
335	Q6994316	Nepa Kingdom
336	Q7233551	Post-independence Burma, 1948–1962
337	Q7245108	Principality of Lebanon
338	Q7380487	Kingdom of Pontus
339	Q7559152	Somali Republic
340	Q7636794	Sultanate of Dara
341	Q7842409	Commonwealth realm of Trinidad and Tobago
342	Q8146595	Upingtonia
343	Q9595327	叶调
344	Q10401008	烏壘
345	Q10531418	Yuan dynasty
346	Q10827246	Tiêu (nước)
347	Q10857476	Athamania
348	Q10884385	代 (西汉)
349	Q10914393	Neo-Assyrian Empire
350	Q10916017	史国
351	Q10922797	唐旄
352	Q10931099	塞国
353	Q11065222	建国军政制置府
354	Q11299497	クルンクン王国
355	Q11920945	estat del Nil
356	Q11945167	regne de Zion
357	Q12035643	kingdom of Maroboduus
358	Q12490901	Kepaksian Sekala Brak
359	Q12491062	Kerajaan Tidung kuno
360	Q12582633	Gammunguk
361	Q12739306	Republica de la Comrat
362	Q13414776	Western Chu
363	Q13426199	Republic of China (1912–1949)
364	Q15127142	Repubblica di Bobbio
365	Q15900316	詹文侯
366	Q15902270	辽东国 (楚汉战争)
367	Q15902493	Shadow Government of China
368	Q15903902	大明順天國
369	Q15913116	琼崖苏维埃政府
370	Q15935096	鄶國
371	Q15935484	緬中行省
372	Q15938851	荀国
373	Q16071459	胡國
374	Q16125570	إقليم الجند
375	Q16510394	祝國
376	Q16624774	Kingdom of Nicoya
377	Q16692637	Российская республика
378	Q16708974	Тюменское владение
379	Q17039642	贾国
380	Q17059107	西魏国
381	Q17311418	Guler State
382	Q18223897	Marchesato di Dolceacqua
383	Q18407804	Жукотинское княжество
384	Q18409824	Ulster
385	Q18608788	Ghurid dynasty
386	Q18651342	中国和平军
387	Q19727687	Kesultanan Paser
388	Q19746032	Kerajaan Talaga Manggung
389	Q19748973	Kerajaan Tidung
390	Q19786906	Msidis Reich
391	Q19852106	后清大中国
392	Q19855565	Dazhong Kingdom
393	Q19915294	Unie van Dordrecht
394	Q20008225	Contea di Borgonovo
395	Q21076459	Khontéla
396	Q21190192	Principato di Soragna
397	Q21569213	Zimbabwe-Rhodèsia
398	Q21789782	Emirat de Bedde
399	Q21809320	emirat de Jama'are
400	Q21815324	Emirat de Lafia
401	Q21815327	Emirat de Misau
402	Q24933875	Contea di San Secondo
403	Q27554854	Zemgales hercogiste
404	Q27907706	Shule Kingdom
405	Q30890672	Kingdom of Sicily
406	Q30944764	杜國
407	Q30944973	桐國
408	Q30945069	緜諸
409	Q30945447	甲氏
410	Q30945586	鄾國
411	Q30945861	華國
412	Q42378126	Kingdom of Setul Mambang Segara
413	Q48838872	Santalpur
414	Q49788484	Zheng
415	Q56228982	Kerajaan Endekan
416	Q56228990	Kerajaan Maiwa
417	Q56228991	Kerajaan Manggarai
418	Q56229004	Kerajaan Sebayak Lingga
419	Q56229014	Ngalaroh
420	Q58482373	lordship of Caymont
421	Q61355432	Gordonia
422	Q61861373	Taifa de Beja y Évora
423	Q63022868	Kingdom of Navarre
424	Q63524979	Marchesato di Scandiano
425	Q77997266	Dadra and Nagar Haveli and Daman and Diu
426	Q30	United States of America
427	Q38	Italy
428	Q43	Turkey
429	Q213	Czech Republic
430	Q235	Monaco
431	Q242	Belize
432	Q252	Indonesia
433	Q258	South Africa
434	Q262	Algeria
435	Q664	New Zealand
436	Q668	India
437	Q672	Tuvalu
438	Q695	Palau
439	Q702	Federated States of Micronesia
440	Q710	Kiribati
441	Q717	Venezuela
442	Q929	Central African Republic
443	Q948	Tunisia
444	Q1006	Guinea
445	Q1007	Guinea-Bissau
446	Q1027	Mauritius
447	Q1036	Uganda
448	Q1159	Andhra Pradesh
449	Q1353	Delhi
450	Q2277	Roman Empire
451	Q5743	Ebla
452	Q7462	Song dynasty
453	Q8733	Qing dynasty
454	Q9683	Tang Empire
455	Q11774	Gupta Empire
456	Q12548	Holy Roman Empire
457	Q15864	United Kingdom of the Netherlands
458	Q17167	Roman Republic
459	Q20135	Grand Duchy of Hesse
460	Q28370	Goguryeo
461	Q31747	Irish Free State
462	Q34266	Russian Empire
463	Q37024	Serbia and Montenegro
464	Q40362	Sahrawi Arab Democratic Republic
465	Q41137	Assyria
466	Q55522	Nanzan
467	Q61292	Far Eastern Republic
468	Q62454	Chen dynasty
469	Q62623	Kalmar Union
470	Q62943	Maurya Empire
471	Q68682	Bukharan People's Soviet Republic
472	Q69808	Vichy France
473	Q69829	French Fourth Republic
474	Q71084	First French Empire
475	Q75903	Turkestan Autonomous Soviet Socialist Republic
476	Q80702	Spanish Empire
477	Q83572	Sikh Empire
478	Q107299	Kingdom of Northumbria
479	Q121932	People's Republic of Bulgaria
480	Q138837	Catalan Republic
481	Q139319	Russian Republic
482	Q146328	Commonwealth of the Philippines
483	Q146720	Mandatory Iraq
484	Q146871	First Saudi State
485	Q146880	State of Syria
486	Q148499	Margraviate of Brandenburg
487	Q151536	Novgorod Republic
488	Q151938	Neutral Moresnet
489	Q153665	German South-West Africa
490	Q157535	People's Republic of Zanzibar and Pemba
491	Q158835	Prince-Bishopric of Liège
492	Q160307	Fatimid caliphate
493	Q170468	United Arab Republic
494	Q170770	Grand Duchy of Moscow
495	Q180573	South Vietnam
496	Q184536	Mali Empire
497	Q186888	Karelo-Finnish Soviet Socialist Republic
498	Q188553	Batavian Republic
499	Q199688	Almohad Caliphate
500	Q201705	Khmer Empire
501	Q202775	Qu'aiti State in Hadhramaut
502	Q205466	Göktürks
503	Q205708	Taifa of Granada
504	Q206279	Waalo
505	Q206696	Helvetic Republic
506	Q207272	Second Polish Republic
507	Q208545	Socialist Republic of Bosnia and Herzegovina
508	Q210036	Chechen Republic of Ichkeria
509	Q210198	Erivan Khanate
510	Q212439	Cossack Hetmanate
511	Q217230	Empire of Brazil
512	Q229411	Delhi Sultanate
513	Q246737	Exarchate of Africa
514	Q252323	Taifa of Dénia
515	Q265824	Second Hellenic Republic
516	Q271570	Kingdom of Araucanía and Patagonia
517	Q273025	Gallic Empire
518	Q276841	Taifa of Badajoz
519	Q307066	Eastern Zhou
520	Q307069	Eastern Wei
521	Q324470	Kara Koyunlu tribe
522	Q325493	Kingdom of Abkhazia
523	Q330756	Transcaucasian Democratic Federative Republic
524	Q330988	Democratic Kampuchea
525	Q371334	Second Mexican Empire
526	Q373988	Beylik of Teke
527	Q376778	United Baltic Duchy
528	Q382593	New Netherland
529	Q404774	Sultanate of Lahej
530	Q428634	Lordship of Negroponte
531	Q429981	Tenth Dynasty of Egypt
532	Q435583	Old Swiss Confederacy
533	Q463289	Cispadane Republic
534	Q466581	Hoysala Empire
535	Q467864	People's Socialist Republic of Albania
536	Q468814	Dahomey
537	Q481766	Amurru kingdom
538	Q487829	Chagatai Khanate
539	Q491507	Egypt Eyalet
540	Q491921	Andia
541	Q494625	Usan-guk
542	Q516160	First Hungarian Republic
543	Q519718	Taungoo Dynasty
544	Q544630	Republic of Maryland
545	Q545205	Transcaucasian Socialist Federative Soviet Republic
546	Q600524	Sokoto Caliphate
547	Q608245	Kröver Reich
548	Q612359	Kingdom of Lithuania
549	Q615902	Kingdom of Finland
550	Q633573	Kingdom of Rheged
551	Q657448	County of Conflent
552	Q659312	Ligurian Republic
553	Q665248	Freistaat Schwenten
554	Q671899	Duchy of Teschen
555	Q676811	Taifa of Valencia
556	Q684430	Rauracian Republic
557	Q686965	Anhalt-Bernburg
558	Q696908	Kingdom of Poland
559	Q697084	Duchy of Oldenburg
560	Q698634	Arpad
561	Q699964	Archduchy of Austria
562	Q703340	Wiman Joseon
563	Q704300	Free City of Frankfurt
564	Q704358	State of Burma
565	Q708865	Reformed Government of the Republic of China
566	Q713393	Okjeo
567	Q713397	Dongye
568	Q718763	South Pacific Mandate
569	Q721801	Seventh Dynasty of Egypt
570	Q721807	Thirteenth Dynasty of Egypt
571	Q728479	Fifteenth Dynasty of Egypt
572	Q748151	Twenty-first Dynasty of Egypt
573	Q751372	Maflahi
574	Q752431	New Hebrides
575	Q756895	Kediri
576	Q760893	Jolof Empire
577	Q770776	Dutch Gold Coast
578	Q788071	Talysh-Mughan Autonomous Republic
579	Q794210	Aztec Triple Alliance
580	Q797422	Republic of Upper Volta
581	Q797527	British Togoland
582	Q806233	Banda (Staat)
583	Q806963	Banswara State
584	Q809955	Bashahr State
585	Q814959	Beiyang Government
586	Q834896	Partisanenrepublik Ossola
587	Q838261	Federal Republic of Yugoslavia
588	Q842390	Tuʻi Tonga Empire
589	Q845531	Ran Wei
590	Q848383	Duchy of Rome
591	Q854850	Bharatpur State
592	Q855058	Bhor State
593	Q866716	Jalayirids
594	Q877155	Chera Dynasty
595	Q877619	French Consulate
596	Q877875	Palmyrene Empire
597	Q887803	Bruneian Empire
598	Q888574	Pagan Kingdom
599	Q889030	Kingdom of Manipur
600	Q907112	Pridnestrovie
601	Q910505	Tmutarakan
602	Q917553	Patiala State
603	Q932487	Miraj Senior
604	Q954044	Republic of Alba
605	Q965346	Tripolitanian Republic
606	Q973433	Dungarpur State
607	Q986665	First East Turkestan Republic
608	Q1017396	Bushmanland
609	Q1040193	Ji
610	Q1069868	Liang dynasty
611	Q1069905	Cheng Han
612	Q1069959	Kingdom of Imereti
613	Q1072362	Provisional Revolutionary Government of the Republic of South Vietnam
614	Q1099731	Oghuz Yabgu State
615	Q1108445	Kyivska Rus'
616	Q1145367	Fusang
617	Q1147037	Eastern Han Dynasty
618	Q1150706	Kalinga
619	Q1178974	Daxi
620	Q1183407	Taifa of Algeciras
621	Q1183649	Deccan sultanates
622	Q1188046	Yan
623	Q1190905	Duchy of Pannonian Croatia
624	Q1192347	Chu
625	Q1192437	East Sumatra
626	Q1194765	Kamarupa
627	Q1196201	Tuyuhun
628	Q1198163	Southern Ming Dynasty
629	Q1235720	Republic of Lucca
630	Q1236944	Dombes
631	Q1262881	Balkan Federation
632	Q1269234	Stellaland
633	Q1332370	Ellipi
634	Q1375154	Benares State
635	Q1376303	Malla
636	Q1384210	volkstaat
637	Q1395320	Duchy of Siewierz
638	Q1407718	Confederate Ireland
639	Q1408641	Sultanate of Gowa
640	Q1466831	Marion
641	Q1479726	Malaya
642	Q1483430	Principality of Kiev
643	Q1508143	Ukrainian State
644	Q1515009	Duchy of Greater Poland
645	Q1518229	Mewar
646	Q1538311	Travancore-Cochin
647	Q1553143	Alwar State
648	Q1554367	Gulmu
649	Q1555101	Western Guo
650	Q1580934	Yugra
651	Q1582792	Mira
652	Q1614427	Montpellier
653	Q1627613	Republic of Ancona
654	Q1627675	Pyu city-states
655	Q1639521	Huša
656	Q1656775	Kingdom of Lithuania
657	Q1656908	Idrisid Emirate of Asir
658	Q1660566	Sultanate of Banjar
659	Q1660773	East Caprivi
660	Q1721466	Kapitaï and Koba
661	Q1737252	Kavangoland
662	Q1740542	Quba Khanate
663	Q1775277	Dominion of India
664	Q1779823	Alash Autonomy
665	Q1784316	Koriya
666	Q1842362	Crimean Socialist Soviet Republic
667	Q1897800	Wahidi Balhaf
668	Q1951726	Mudhol State
669	Q1967878	Land of Uz
670	Q1977088	Přímořská říše
671	Q1995514	Noimuti
672	Q2006756	First Empire of Haiti
673	Q2029317	Samtskhe atabegate
674	Q2029522	Ternate Sultanate
675	Q2037576	Republic of San Marco
676	Q2039087	Chandela
677	Q2096441	Subartu
678	Q2139081	Reich Kiang
679	Q2145348	Republik Graaff-Reinet
680	Q2145397	Goshen
681	Q2145402	Republic of South Peru
682	Q2225895	Satara state
683	Q2263351	Western Zhou
684	Q2265843	Sefwi people
685	Q2267498	Xích Quỷ
686	Q2288848	Sindh (Staat)
687	Q2290243	Sisi (Belu)
688	Q2290502	Sitamau State
689	Q2300246	Kingdom of Fez
690	Q2327139	Taifa of Guadix and Baza
691	Q2360973	Duchy of Carniola
692	Q2368656	Liang
693	Q2368688	Republic of Cabinda
694	Q2390604	Taifa of Arcos
695	Q2428714	Sena dynasty
696	Q2453974	Don Republic
697	Q2458078	Cokossi
698	Q2458580	Republic of New Afrika
699	Q2478615	Taifa of Jerez
700	Q2485209	Emirate of Beihan
701	Q2501055	Beylik of Dilmaç
702	Q2528503	Sarmatia
703	Q2534729	Tournaisis
704	Q2548416	Wankaner State
705	Q2585219	Pi
706	Q2610420	sultanaat Zemio
707	Q2626105	Kingdom of Sophene
708	Q2650142	Huang
709	Q2650468	Liao
710	Q2662180	Qocho
711	Q2666791	Taifa of Morón
712	Q2830724	Beylik of Alaiye
713	Q2969231	Liuqiu
714	Q2980623	Kingdom of Bosnia
715	Q2986401	Lai
716	Q2989469	Makran
717	Q2989491	Kharan State
718	Q3087763	Republic of Egypt
719	Q3087872	economy of England in the Middle Ages
720	Q3177663	Pakualaman
721	Q3192661	Kangra-Lambagraon
722	Q3248556	Count of Bordeaux
723	Q3281269	North Sea Empire
724	Q3324546	Sovereign Council of Asturias and León
725	Q3436066	Qutaibi
726	Q3456472	Republic of Metz
727	Q3559284	Villes libres de Menton et Roquebrune
728	Q3566568	Wassoulou
729	Q3623202	District of Branković
730	Q3656404	Despotate of Angelokastron and Lepanto
731	Q3687751	Contado di Cremona
732	Q3687753	Contado di Lodi
733	Q3687900	Contea degli Ottieri
734	Q3696281	Sindhudesh
735	Q3755547	Kingdom of Italy
736	Q3765117	Eastern Chalukyas
737	Q3771895	Glastening
738	Q3773496	Kingdom of Gibraltar
739	Q3847034	Margraviato d'Istria
740	Q3921984	Principality of Pavia
741	Q3932032	Kamata Kingdom
742	Q3933255	Repubblica partigiana della Carnia
743	Q3968534	Stati italiani attorno all'anno Mille
744	Q4130471	Вятская вечевая республика
745	Q4146687	State Meeting in Ufa
746	Q4147012	State of Buryat-Mongolia
747	Q4167201	Dosso Kingdom
748	Q4186491	Rietumkrievijas valdība
749	Q4199254	Sultanate Taranchinsky
750	Q4204052	Islamic Revolutionary State of Afghanistan
751	Q4251265	Кюринское ханство
752	Q4272627	Kasmira Kingdom
753	Q4338046	Beylik of Osman
754	Q4397920	Russia Eastern Outskirts
755	Q4406420	Confederation of Madya-as
756	Q4417864	Grey Ukraine
757	Q4426901	Сокая
758	Q4453007	Tashkent Khanate
759	Q4519976	Shamshadin Sultanate
760	Q4522518	Principality of Shekin
761	Q4778463	Anziku Kingdom
762	Q4854092	Brunswijk-Celle
763	Q5311394	Zhou (settlement)
764	Q5622720	Commonwealth realm of Guyana
765	Q5941965	Huna Kingdom
766	Q5949183	گیزیل بوندا
767	Q6083755	Islands of Refreshment
768	Q6123746	Republican zone
769	Q6124144	Jaipur State
770	Q6381574	聃国
771	Q6509039	League of East European States
772	Q6553448	State of Buenos Aires
773	Q6663923	Locach
774	Q6728459	Madra Kingdom
775	Q7130792	Pandya Kingdom
776	Q7144388	Pate sultanate
777	Q7251405	Protectorate of Peru
778	Q7314469	Republic of Georgia
779	Q7603765	State of Malta
780	Q7636790	Sultanate of Bambao
781	Q7636795	Sultanate of Dahlak
782	Q7636800	Sultanate of Showa
783	Q8575586	Umayyad Caliphate
784	Q9384980	五翕侯
785	Q10259877	尉头
786	Q10340486	杜板
787	Q10869627	东北行政委员会 (1932年成立)
788	Q10872458	中华苏维埃共和国西北联邦
789	Q10885360	休密
790	Q10888926	偪阳国
791	Q10899525	劉國
792	Q10903084	北晉
793	Q10921952	Kumul Khanate
794	Q10922467	Tsongkha
795	Q10952237	宿国
796	Q10955123	South Chahar Autonomous Government
797	Q11067850	Xian
798	Q11074262	Ying
799	Q11089317	North Shanxi Autonomous Government
800	Q11153551	淳于国
801	Q11605905	細川政権 (戦国時代)
802	Q11750535	Księstwo chełmskie
803	Q11750543	Księstwo kujawskie
804	Q11784930	monarchia wczesnopiastowska
805	Q11917803	Al-Dhubi
806	Q12050835	Sakalava chiefdom of the Menabe
807	Q12163800	Ukrainian State
808	Q12229205	Uyunid Emirate
809	Q12491397	Kesultanan Gunung Tabur
810	Q12584196	Goriguk
811	Q12842865	Marand Khanate
812	Q14552167	Porbandar State
813	Q14759030	Commonwealth realm of Mauritius
814	Q14914778	Greater Germanic Reich
815	Q15220502	Ying
816	Q15647617	Qiao Shu
817	Q15888896	都密
818	Q15894318	共國
819	Q15898241	大韓朝
820	Q15900712	子申国
821	Q15904324	浩天尚国
822	Q15933722	燕京戎
823	Q15941551	濫國
824	Q15943981	邿國
825	Q16034119	Despotate
826	Q16056854	Kingdom of Hungary
827	Q16178052	Iseoguk
828	Q16187820	Golbeolguk
829	Q16271387	Sultanate of Singora
830	Q16543834	Contea di Carpegna
831	Q16575708	Marchesato di Petrella
832	Q16674373	République du Djéguéme
833	Q16678194	Sultanat de Rehayto
834	Q17061544	衡山国
835	Q18164260	Radhanpur State
836	Q18419124	Marchesato di Torriglia
837	Q18590086	Contea di Loano
838	Q19746027	Kerajaan Melayu
839	Q19852237	大光天朝
840	Q19852249	大明朝
